Johnny_Cash-Man_in_Black,,13.0539,25.9599,12.9492,25.9724,7.97422,15.4685,13.5586,16.3664
Xindl_X-Na_palube_Titanicu,,13.1539,25.9753,12.9492,26.0094,7.97422,15.5055,13.6633,16.3699
Survivor-Eye_Of_The_Tiger,,18.7383,25.9823,13.4586,25.9559,11.4258,15.4932,17.5195,16.3737
Lidova_pisen-Ceresnicky,,30.3164,25.1707,14.7773,25.1536,18.3336,15.0035,19.3477,16.3814
Otto_Vokal-To_neni_vecer,,15.082,25.9869,12.9492,26.0094,9.19297,15.5063,15.6914,16.3946
Argema-Tohle_je_raj,,22.2945,25.1528,12.5445,25.1582,13.5586,14.9501,16.3008,16.4078
Chinaski-Kompy,,16.5055,26.0379,13.0539,26.0346,10.107,15.5122,16.9102,16.4292
Chinaski-Drobna_paralela,,14.7773,26.3499,14.6773,26.3673,8.98828,15.6746,15.3867,16.4941
Bob_Dylan-Knocking_On_Heaven's_Door,,25.9508,25.3733,12.6445,25.3587,15.6914,15.0796,16.5055,16.5415
Hansard_&_Irglova-Falling_Slowly,,21.0758,25.3352,12.6445,25.3587,12.9492,15.0714,16.5055,16.5415
Elton_John-Can_You_Feel_The_Love_Tonight,,16.8102,26.2613,13.1539,26.2704,10.207,15.6657,17.1148,16.5543
K'naan-Wavin'_flag,,12.1398,26.4155,13.1539,26.4204,7.36484,15.6976,12.6445,16.61
Bo_Burnham-From_God's_Perspective,,9.19297,26.4592,13.1539,26.4582,5.53672,15.7198,9.59766,16.6189
Ozzy_Osbourne-Mama,,15.6914,26.4654,13.2539,26.4334,9.59766,15.7226,16.3008,16.6388
Karel_Kryl-Lasko,,23.3086,26.4716,13.2539,26.4687,14.3727,15.7237,17.2148,16.651
Filmova_hudba-Jednou_mi_fotr_povida,,19.2477,26.5694,13.2539,26.5809,11.7305,15.7911,17.3195,16.7158
Honza_Jicha-Nekvalifikovany_ucitel,,11.6305,26.6117,13.2539,26.6216,7.06016,15.8028,12.0352,16.7368
Vaclav_Neckar-Pulnocni,,25.1367,25.6103,12.8492,25.6263,15.3867,15.2773,16.7102,16.7466
Waldemar_Matuska-Mile,,21.0758,25.6702,12.8492,25.6605,12.9492,15.2408,16.7102,16.7466
Kabat-Moderni_devce,,24.9367,25.7423,12.8492,25.7334,15.2867,15.2867,16.8102,16.8102
Leonard_Cohen-Hallelujah,,17.3195,26.8185,13.8633,26.811,10.5117,15.9962,18.0289,16.8213
Irish_Rovers-Drunken_Sailor,,15.8961,26.7344,14.3727,26.7302,9.80234,15.9335,16.6055,16.8335
Pavel_Cadek-Urednikuv_song,,12.6445,26.7743,13.4586,26.7647,7.66953,15.9497,13.1539,16.8665
Mandrage-Srouby_a_matice,,17.4195,26.8345,14.882,26.8335,10.6164,15.9247,18.1289,16.8721
Yvonne_Prenosilova-Boty_proti_lasce,,26.4602,26.497,12.9492,26.487,15.9961,16.0329,16.9102,16.9102
Curly_Strings-Sobrad_Mu_Kallid,,14.4727,26.9217,14.068,26.9314,8.78828,16.0171,15.082,16.9147
Pavel_Dydovic-Blaznova_ukolebavka,,26.5602,25.9331,12.9492,25.9353,15.9961,15.4432,16.9102,16.947
Howard_Goodall-Red_Dwarf_Theme,,26.2555,25.8873,12.9492,25.8976,15.9961,15.4065,16.9102,16.947
Die_Toten_Hosen-Tage_Wie_Diese,,11.4258,26.9159,13.4586,26.9173,6.96016,16.062,11.9352,16.9848
Chinaski-Kapela,,11.9352,26.9789,15.082,26.9787,7.26484,16.0673,12.4445,16.9919
"Karel_Kryl-Hle,_jak_se_perou",,25.5461,26.0274,13.0539,26.0346,15.6914,15.5064,16.9102,17.0212
Pokac-Kebaby,,22.2945,27.0225,14.4727,27.0218,13.5586,16.1009,19.043,17.0425
El_Cuarteto_de_Nos-No_quiero_ser_normal,,13.6633,27.0968,13.5586,27.1176,8.37891,16.1078,14.168,17.0478
Chinaski-Moc_toho_nevim,,18.943,26.2144,13.1539,26.2324,11.5305,15.6352,17.1148,17.1521
Scorpions-Wind_of_Change,,20.4664,26.2927,13.1539,26.269,12.5445,15.6087,17.1148,17.1521
Luis_Fonsi-Despacito,,9.90234,27.2315,13.5586,27.2334,5.94141,16.2322,10.207,17.1541
"Jezek_+_Voskovec_+_Werich-Holduj_tanci,_pohybu",,15.5914,27.2656,13.5586,27.2334,9.49766,16.2429,16.2008,17.1697
Elvis_Presley-In_The_Ghetto,,14.068,27.3956,13.7633,27.4096,8.58359,16.2479,14.6773,17.2468
Epy_De_Mye-Nad_ranem,,25.5461,26.3714,13.2539,26.3952,15.6914,15.7289,17.2148,17.2523
Curly_Strings-Kauges_Kulas,,22.8039,26.454,13.2539,26.4676,13.8633,15.7368,17.2148,17.29
Chinaski-Venku_je_na_nule,,17.5195,27.4915,13.4586,27.5041,10.7164,16.3875,17.5195,17.324
Folk-Hej_sokoły,,14.7773,27.6342,13.7633,27.6448,8.98828,16.421,15.3867,17.3835
Karel_Kryl-Bacil,,20.7711,26.5976,13.2539,26.5845,12.6445,15.8624,17.4195,17.4195
Kabat-Kruty_krtek_Joy,,27.2695,26.6627,13.3586,26.6792,16.5055,15.8984,17.4195,17.4575
Janek_Ledecky-Jenom_laska,,26.4602,26.8033,13.3586,26.7909,16.2008,15.9346,17.4195,17.4956
Nightwork-Maja,,27.5742,26.9231,13.4586,26.915,16.6055,15.9947,17.5195,17.596
Marta_Kubisova-Nechte_zvony_znit,,27.4742,26.8628,13.4586,26.879,16.6055,16.0316,17.5195,17.596
Elvis_Presley-I_Can't_Help_Falling_In_Love_With_You,,27.5742,26.9231,13.4586,26.915,16.6055,15.9947,17.5195,17.596
Kabat-Kdo_vi_jestli,,13.2539,28.0605,13.968,28.0957,8.07422,16.7034,13.8633,17.6478
Johnny_Cash-I_Walk_the_Line,,23.6133,26.9921,13.5586,27.002,14.4727,16.085,17.6242,17.6626
Honza_Jicha-Matfyzak,,16.6055,28.1143,13.968,28.0957,10.207,16.6808,17.3195,17.6787
Jezek_+_Voskovec_+_Werich-Babicka_Mary,,8.27891,28.1163,15.9961,28.1131,5.02734,16.7866,8.68359,17.7273
Pokac-Co_z_tebe_bude,,18.0289,28.4988,14.168,28.498,11.0211,16.9343,18.5383,17.8921
Olympic-Jasna_zprava,,22.5992,28.4718,16.5055,28.5095,13.8633,16.9846,21.5852,17.9404
Karel_Gott-Trezor,,22.2945,28.5483,14.168,28.5367,13.5586,16.9989,18.6383,17.9481
Simple_Plan-Welcome_to_My_Life,,11.9352,28.4984,14.168,28.4984,7.26484,16.9866,12.4445,17.9574
Zalman_&_Spol.-Sejdeme_se_v_panu,,14.7773,28.5616,14.2727,28.5455,8.98828,17.0006,15.3867,17.985
The_Beatles-Let_It_Be,,19.857,28.6098,14.168,28.6164,12.0352,17.0031,18.6383,17.9886
Haloo_Helsinki!-Ei_Suomalaiset_Tanssi,,9.29297,28.6487,14.2727,28.668,5.63672,17.0348,9.80234,18.0253
